Date,Transaction ID,Description,Debit Amount,Credit Amount,Balance,Transaction Type
06-02-2026,TXN1036,Cash Deposit,,3000,61195,Credit
07-02-2026,TXN1037,Electricity Bill,429,,60766,Debit
08-02-2026,TXN1038,Cash Deposit,2265,,58501,Debit
09-02-2026,TXN1039,Restaurant Payment,683,,57818,Debit
10-02-2026,TXN1040,Shopping,,8823,66641,Credit
11-02-2026,TXN1041,Salary Credit,1863,,64778,Debit
12-02-2026,TXN1042,Electricity Bill,,3873,68651,Credit
13-02-2026,TXN1043,Cash Deposit,3894,,64757,Debit
14-02-2026,TXN1044,Electricity Bill,,1436,66193,Credit
15-02-2026,TXN1045,Salary Credit,3776,,62417,Debit
16-02-2026,TXN1046,Fuel Payment,4779,,57638,Debit
17-02-2026,TXN1047,Restaurant Payment,3241,,54397,Debit
18-02-2026,TXN1048,Online Purchase,,1658,56055,Credit
19-02-2026,TXN1049,UPI Transfer,,5103,61158,Credit
20-02-2026,TXN1050,Electricity Bill,1202,,59956,Debit
21-02-2026,TXN1051,Restaurant Payment,,6828,66784,Credit
22-02-2026,TXN1052,Restaurant Payment,2616,,64168,Debit
23-02-2026,TXN1053,Salary Credit,,6723,70891,Credit
24-02-2026,TXN1054,ATM Withdrawal,,4618,75509,Credit
25-02-2026,TXN1055,ATM Withdrawal,4698,,70811,Debit
26-02-2026,TXN1056,Restaurant Payment,,5065,75876,Credit
27-02-2026,TXN1057,Restaurant Payment,311,,75565,Debit
28-02-2026,TXN1058,Mobile Recharge,1603,,73962,Debit
01-03-2026,TXN1059,Shopping,,3558,77520,Credit
02-03-2026,TXN1060,Cash Deposit,,6802,84322,Credit
03-03-2026,TXN1061,ATM Withdrawal,4288,,80034,Debit
04-03-2026,TXN1062,Electricity Bill,,6655,86689,Credit
05-03-2026,TXN1063,Cash Deposit,1418,,85271,Debit
06-03-2026,TXN1064,Fuel Payment,3133,,82138,Debit
07-03-2026,TXN1065,Mobile Recharge,2390,,79748,Debit
08-03-2026,TXN1066,Salary Credit,,6186,85934,Credit
09-03-2026,TXN1067,UPI Transfer,977,,84957,Debit
10-03-2026,TXN1068,Restaurant Payment,,8886,93843,Credit
11-03-2026,TXN1069,Salary Credit,4141,,89702,Debit
12-03-2026,TXN1070,Electricity Bill,4552,,85150,Debit
13-03-2026,TXN1071,Shopping,484,,84666,Debit
14-03-2026,TXN1072,UPI Transfer,721,,83945,Debit
15-03-2026,TXN1073,Fuel Payment,433,,83512,Debit
16-03-2026,TXN1074,ATM Withdrawal,2446,,81066,Debit
17-03-2026,TXN1075,Electricity Bill,,9615,90681,Credit
18-03-2026,TXN1076,Shopping,,4031,94712,Credit
19-03-2026,TXN1077,Online Purchase,,8179,102891,Credit
20-03-2026,TXN1078,Salary Credit,,9467,112358,Credit
21-03-2026,TXN1079,Mobile Recharge,,4651,117009,Credit
22-03-2026,TXN1080,UPI Transfer,,5859,122868,Credit
23-03-2026,TXN1081,Shopping,,9317,132185,Credit
24-03-2026,TXN1082,Restaurant Payment,,8806,140991,Credit
25-03-2026,TXN1083,Fuel Payment,518,,140473,Debit
26-03-2026,TXN1084,Mobile Recharge,1528,,138945,Debit
27-03-2026,TXN1085,Shopping,,7412,146357,Credit
28-03-2026,TXN1086,Electricity Bill,4725,,141632,Debit
29-03-2026,TXN1087,ATM Withdrawal,,3815,145447,Credit
30-03-2026,TXN1088,ATM Withdrawal,1264,,144183,Debit
31-03-2026,TXN1089,ATM Withdrawal,,4360,148543,Credit
01-04-2026,TXN1090,Online Purchase,,4077,152620,Credit
02-04-2026,TXN1091,Fuel Payment,4704,,147916,Debit
03-04-2026,TXN1092,Shopping,,2612,150528,Credit
04-04-2026,TXN1093,Cash Deposit,4531,,145997,Debit
05-04-2026,TXN1094,Electricity Bill,,7647,153644,Credit
06-04-2026,TXN1095,Cash Deposit,,6047,159691,Credit
07-04-2026,TXN1096,Shopping,1822,,157869,Debit
08-04-2026,TXN1097,Online Purchase,,8360,166229,Credit
09-04-2026,TXN1098,Online Purchase,,1709,167938,Credit
10-04-2026,TXN1099,ATM Withdrawal,,3611,171549,Credit
11-04-2026,TXN1100,Restaurant Payment,,1383,172932,Credit
